timestamp,stage,config_id,model,sharpe,acc,params
2026-02-16 22:39:30,screen,1,CatBoost,0.7929,0.5012,"{'iterations': 200, 'depth': 3, 'learning_rate': 0.01, 'l2_leaf_reg': 1.0, 'task_type': 'GPU', 'devices': '0'}"
2026-02-16 22:39:41,screen,2,CatBoost,0.7033,0.5000,"{'iterations': 200, 'depth': 3, 'learning_rate': 0.01, 'l2_leaf_reg': 3.0, 'task_type': 'GPU', 'devices': '0'}"
2026-02-16 22:39:51,screen,3,CatBoost,0.3585,0.5061,"{'iterations': 200, 'depth': 3, 'learning_rate': 0.03, 'l2_leaf_reg': 1.0, 'task_type': 'GPU', 'devices': '0'}"
2026-02-16 22:40:06,screen,4,CatBoost,0.3297,0.5121,"{'iterations': 200, 'depth': 3, 'learning_rate': 0.03, 'l2_leaf_reg': 3.0, 'task_type': 'GPU', 'devices': '0'}"
2026-02-16 22:40:17,screen,5,CatBoost,0.6202,0.5061,"{'iterations': 200, 'depth': 4, 'learning_rate': 0.01, 'l2_leaf_reg': 1.0, 'task_type': 'GPU', 'devices': '0'}"
2026-02-16 22:40:31,screen,6,CatBoost,0.6291,0.5061,"{'iterations': 200, 'depth': 4, 'learning_rate': 0.01, 'l2_leaf_reg': 3.0, 'task_type': 'GPU', 'devices': '0'}"
2026-02-16 22:40:43,screen,7,CatBoost,0.6005,0.5169,"{'iterations': 200, 'depth': 4, 'learning_rate': 0.03, 'l2_leaf_reg': 1.0, 'task_type': 'GPU', 'devices': '0'}"
2026-02-16 22:40:56,screen,8,CatBoost,0.5234,0.5145,"{'iterations': 200, 'depth': 4, 'learning_rate': 0.03, 'l2_leaf_reg': 3.0, 'task_type': 'GPU', 'devices': '0'}"
2026-02-16 22:41:10,screen,9,CatBoost,0.7686,0.5000,"{'iterations': 200, 'depth': 5, 'learning_rate': 0.01, 'l2_leaf_reg': 1.0, 'task_type': 'GPU', 'devices': '0'}"
2026-02-16 22:41:23,screen,10,CatBoost,0.6562,0.5036,"{'iterations': 200, 'depth': 5, 'learning_rate': 0.01, 'l2_leaf_reg': 3.0, 'task_type': 'GPU', 'devices': '0'}"
2026-02-16 22:41:36,screen,11,CatBoost,0.2433,0.5109,"{'iterations': 200, 'depth': 5, 'learning_rate': 0.03, 'l2_leaf_reg': 1.0, 'task_type': 'GPU', 'devices': '0'}"
2026-02-16 22:41:48,screen,12,CatBoost,0.5216,0.5109,"{'iterations': 200, 'depth': 5, 'learning_rate': 0.03, 'l2_leaf_reg': 3.0, 'task_type': 'GPU', 'devices': '0'}"
2026-02-16 22:42:54,validate,1,CatBoost,1.1130,0.5293,"{'iterations': 200, 'depth': 3, 'learning_rate': 0.01, 'l2_leaf_reg': 1.0, 'task_type': 'GPU', 'devices': '0'}"
2026-02-16 22:44:00,validate,2,CatBoost,1.1321,0.5342,"{'iterations': 200, 'depth': 5, 'learning_rate': 0.01, 'l2_leaf_reg': 1.0, 'task_type': 'GPU', 'devices': '0'}"
2026-02-16 22:45:04,validate,3,CatBoost,1.1186,0.5277,"{'iterations': 200, 'depth': 3, 'learning_rate': 0.01, 'l2_leaf_reg': 3.0, 'task_type': 'GPU', 'devices': '0'}"
2026-02-16 22:46:08,validate,4,CatBoost,1.1936,0.5348,"{'iterations': 200, 'depth': 5, 'learning_rate': 0.01, 'l2_leaf_reg': 3.0, 'task_type': 'GPU', 'devices': '0'}"
2026-02-16 22:47:11,validate,5,CatBoost,1.1899,0.5386,"{'iterations': 200, 'depth': 4, 'learning_rate': 0.01, 'l2_leaf_reg': 3.0, 'task_type': 'GPU', 'devices': '0'}"
